delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,400,unexp,28,0,336,1,1714.5302044998389,,1714.5158072998747,1714.5302044998389,1715.5146971000358,1715.5146971000358,1715.5315092999954,1716.0498281999025,space,0.5240311999805272,None,1716.050221099984,1716.4493426664887,1716.7571568998974,1716.7482755000237,1716.748298799852,1716.7571568998974,1716.7571568998974,1716.7571568998974,1718.6874577999115,100,1,[1.9378229000139982],[1.937828800175339],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,400,unexp,28,1,337,0,1718.7012866998557,,1718.6881064998452,1718.7012866998557,1719.7026961999945,1719.7026961999945,1719.7026961999945,1720.1711842999794,space,0.46044870000332594,None,1720.1716129998676,1720.286592066583,1720.5968746000435,1720.5880895999726,1720.5881119999103,1720.5968746000435,1720.5968746000435,1720.5968746000435,1722.7587762998883,300,1,[2.1694090000819415],[2.1694150001276284],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.7,1000,exp,28,2,338,8,1722.7727091999259,,1722.7593574000057,1722.7727091999259,1723.773791699903,1723.773791699903,1723.773791699903,1724.2089050998911,space,0.41929040011018515,None,1724.2092543998733,1724.9087124665423,1725.2176315998659,1725.2079331998248,1725.2079614000395,1725.2176315998659,1725.2176315998659,1725.2176315998659,1727.2464630999602,500,1,[2.037038200069219],[2.0370446001179516],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.4,1000,exp,28,3,339,4,1727.260756699834,,1727.247044699965,1727.260756699834,1728.2623590999283,1728.2623590999283,1728.2623590999283,1728.6798874000087,space,0.4083108000922948,None,1728.6802278000396,1729.0798185666247,1729.3874770000111,1729.3783593999688,1729.3784373998642,1729.3874770000111,1729.3874770000111,1729.3874770000111,1730.9008994998876,300,1,[1.5198532999493182],[1.5198588999919593],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,1000,exp,28,4,340,6,1730.9151806998998,,1730.9015267998911,1730.9151806998998,1731.9164366999175,1731.9164366999175,1731.9164366999175,1732.3512530999724,space,0.4238774001132697,None,1732.3516859000083,1732.4667316666494,1732.777632500045,1732.7676973999478,1732.7677271999419,1732.777632500045,1732.777632500045,1732.777632500045,1734.9042123998515,100,1,[2.1347748001571745],[2.1347815000917763],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.7,400,unexp,28,5,341,2,1734.9196742998902,,1734.9048007999081,1734.9196742998902,1735.9043374999892,1735.9043374999892,1735.9205885999836,1736.7388929999433,space,0.8296405000146478,None,1736.7392350998707,1737.4395877665995,1737.7472737999633,1737.7380949999206,1737.7381225000136,1737.7472737999633,1737.7472737999633,1737.7472737999633,1740.193470499944,400,1,[2.4538286000024527],[2.4538341001607478],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,1000,exp,28,6,342,9,1740.2085233000107,,1740.1940552999731,1740.2085233000107,1741.1931951998267,1741.1931951998267,1741.2100184999872,1742.4292084998451,space,1.2261621998623013,None,1742.4295534000266,1742.5442598665288,1742.8562137000263,1742.8477252000012,1742.8477499999572,1742.8562137000263,1742.8562137000263,1742.8562137000263,1745.1320038998965,200,1,[2.2828897999133915],[2.282895099837333],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.4,1000,exp,28,7,343,7,1745.1475863999221,,1745.132746799849,1745.1475863999221,1746.1317632000428,1746.1317632000428,1746.1484506998677,1746.6335469000041,space,0.49089770019054413,None,1746.6339789999183,1747.0494153665534,1747.3578794000205,1747.3480280998629,1747.3481425000355,1747.3578794000205,1747.3578794000205,1747.3578794000205,1749.1194906998426,100,1,[1.7695638998411596],[1.769570800010115],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.1,1000,exp,28,8,344,3,1749.1350497000385,,1749.1200808000285,1749.1350497000385,1750.1196969999,1750.1196969999,1750.1364535000175,1750.8218259999994,space,0.6979765999130905,None,1750.8222644999623,1750.9372869665424,1751.24775949982,1751.2380885998718,1751.238121900009,1751.24775949982,1751.24775949982,1751.24775949982,1755.4771367998328,70,1,[4.237250900128856],[4.237264400115237],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
0.7,1000,exp,28,9,345,11,1755.4919900000095,,1755.4784666998312,1755.4919900000095,1756.4933441998437,1756.4933441998437,1756.4933441998437,1757.1620149000082,space,0.6519814999774098,None,1757.1624157000333,1757.8616902665856,1758.1684657998849,1758.157508400036,1758.1575352000073,1758.1684657998849,1758.1684657998849,1758.1684657998849,1761.0324104998726,100,1,[2.8732590000145137],[2.873264600057155],365031,001,2024-11-13_13h55.48.200,IntentionalBindingExperiment,2024.1.5,None,2024-11-13 13h55.54.650827 +0530,
